cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,key_rotation_interval,difference_profile,difference_member,evidence,literature
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,0,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,1,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,2,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,5,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,0,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,1,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,2,32768,4,ciphertext_pair_xor_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,0,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,1,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
PRESENT-80,SPN,SPN-TokenMixer-PairSet,spn_token_mixer_pairset,spn_token_mixer,0,72,6,2,32768,4,ciphertext_pair_xor_spn_aligned_bits,encrypted_random_plaintexts,0x00000000000000000000,0x11111111111111111111,1024,present_wang_jain2021,0,PRESENT-80 SPN multi-key screen k=1024 for raw versus public inverse-P aligned input,Innovation-one SPN aligned input validation; Wang/Jain PRESENT neural differential profile
